timestamp,device,vehicleCount,energy
2025-07-30 19:18:06,trafficSensor02,85,0.135
2025-07-30 19:18:06,trafficSensor01,91,0.141
2025-07-30 19:18:11,trafficSensor02,70,0.12
2025-07-30 19:18:11,trafficSensor01,58,0.108
2025-07-30 19:20:26,trafficSensor02,70,0.12
2025-07-30 19:20:26,trafficSensor01,79,0.129
2025-07-30 19:20:32,trafficSensor02,9,0.059
2025-07-30 19:20:31,trafficSensor01,93,0.143
2025-07-30 19:20:37,trafficSensor02,55,0.105
2025-07-30 19:20:37,trafficSensor01,75,0.125
2025-07-30 19:20:42,trafficSensor02,92,0.142
2025-07-30 19:20:42,trafficSensor01,39,0.089
2025-07-30 19:20:47,trafficSensor02,10,0.06
2025-07-30 19:20:47,trafficSensor01,71,0.121
2025-07-30 19:20:52,trafficSensor02,76,0.126
2025-07-30 19:20:52,trafficSensor01,65,0.115
2025-07-30 19:20:57,trafficSensor02,76,0.126
2025-07-30 19:20:57,trafficSensor01,56,0.106
2025-07-30 19:21:02,trafficSensor02,58,0.108
2025-07-30 19:21:02,trafficSensor01,43,0.093
2025-07-30 19:21:08,trafficSensor02,63,0.113
2025-07-30 19:21:08,trafficSensor01,71,0.121
2025-07-30 19:21:13,trafficSensor02,2,0.052
2025-07-30 19:21:13,trafficSensor01,45,0.095
2025-07-30 19:21:18,trafficSensor02,6,0.056
2025-07-30 19:21:18,trafficSensor01,100,0.15
2025-07-30 19:21:23,trafficSensor02,75,0.125
2025-07-30 19:21:23,trafficSensor01,98,0.148
2025-07-30 19:21:28,trafficSensor02,44,0.094
2025-07-30 19:21:28,trafficSensor01,15,0.065
2025-07-30 19:21:33,trafficSensor02,52,0.102
2025-07-30 19:21:33,trafficSensor01,73,0.123
2025-07-30 19:21:39,trafficSensor02,78,0.128
2025-07-30 19:21:39,trafficSensor01,40,0.09
2025-07-30 19:21:44,trafficSensor02,77,0.127
2025-07-30 19:21:44,trafficSensor01,63,0.113
2025-07-30 19:21:49,trafficSensor02,26,0.076
2025-07-30 19:21:49,trafficSensor01,42,0.092
2025-07-30 19:21:54,trafficSensor02,38,0.088
2025-07-30 19:21:54,trafficSensor01,81,0.131
2025-07-30 19:21:59,trafficSensor02,31,0.081
2025-07-30 19:21:59,trafficSensor01,57,0.107
2025-07-30 19:22:05,trafficSensor02,94,0.144
2025-07-30 19:22:05,trafficSensor01,73,0.123
2025-07-30 19:22:10,trafficSensor02,49,0.099
2025-07-30 19:22:10,trafficSensor01,80,0.13
2025-07-30 19:22:15,trafficSensor02,38,0.088
2025-07-30 19:22:15,trafficSensor01,54,0.104
2025-07-30 19:22:20,trafficSensor02,4,0.054
2025-07-30 19:22:20,trafficSensor01,45,0.095
2025-07-30 19:23:01,trafficSensor02,0,0.05
2025-07-30 19:23:01,trafficSensor01,51,0.101
2025-07-30 19:23:06,trafficSensor02,98,0.148
2025-07-30 19:23:06,trafficSensor01,96,0.146
2025-07-30 19:23:11,trafficSensor02,43,0.093
2025-07-30 19:23:11,trafficSensor01,41,0.091
2025-07-30 19:23:16,trafficSensor02,11,0.061
2025-07-30 19:23:16,trafficSensor01,92,0.142
2025-07-30 19:23:22,trafficSensor02,84,0.134
2025-07-30 19:23:22,trafficSensor01,24,0.074
2025-07-30 19:23:27,trafficSensor02,3,0.053
2025-07-30 19:23:27,trafficSensor01,78,0.128
2025-07-30 19:23:32,trafficSensor01,33,0.083
2025-07-30 19:23:32,trafficSensor02,19,0.069
2025-07-30 19:23:37,trafficSensor02,94,0.144
2025-07-30 19:23:37,trafficSensor01,7,0.057
2025-07-30 19:23:42,trafficSensor01,1,0.051
2025-07-30 19:23:42,trafficSensor02,6,0.056
2025-07-30 19:23:47,trafficSensor02,12,0.062
2025-07-30 19:23:47,trafficSensor01,43,0.093
2025-07-30 19:23:53,trafficSensor01,96,0.146
2025-07-30 19:23:53,trafficSensor02,85,0.135
2025-07-30 19:23:58,trafficSensor02,78,0.128
2025-07-30 19:23:58,trafficSensor01,81,0.131
2025-07-30 19:24:03,trafficSensor01,43,0.093
2025-07-30 19:24:03,trafficSensor02,61,0.111
2025-07-30 19:24:08,trafficSensor02,26,0.076
2025-07-30 19:24:08,trafficSensor01,44,0.094
2025-07-30 19:24:13,trafficSensor01,41,0.091
2025-07-30 19:24:13,trafficSensor02,61,0.111
2025-07-30 19:24:18,trafficSensor02,42,0.092
2025-07-30 19:24:18,trafficSensor01,81,0.131
2025-07-30 19:24:24,trafficSensor02,63,0.113
2025-07-30 19:24:24,trafficSensor01,29,0.079
2025-07-30 19:24:29,trafficSensor02,34,0.084
2025-07-30 19:24:29,trafficSensor01,64,0.114
2025-07-30 19:24:34,trafficSensor01,11,0.061
2025-07-30 19:24:34,trafficSensor02,46,0.096
2025-07-30 19:24:39,trafficSensor02,47,0.097
2025-07-30 19:24:39,trafficSensor01,38,0.088
2025-07-30 19:24:44,trafficSensor01,48,0.098
2025-07-30 19:24:44,trafficSensor02,37,0.087
2025-07-30 19:24:49,trafficSensor02,23,0.073
2025-07-30 19:24:49,trafficSensor01,94,0.144
2025-07-30 19:24:55,trafficSensor02,26,0.076
2025-07-30 19:24:55,trafficSensor01,32,0.082
2025-07-30 19:25:00,trafficSensor01,65,0.115
2025-07-30 19:25:00,trafficSensor02,48,0.098
2025-07-30 19:56:24,trafficSensor02,35,0.085
2025-07-30 19:56:24,trafficSensor01,29,0.079
2025-07-30 19:56:24,trafficSensor03,88,0.138
2025-07-30 19:56:24,trafficSensor04,61,0.111
2025-07-30 19:56:29,trafficSensor01,62,0.112
2025-07-30 19:56:29,trafficSensor02,68,0.118
2025-07-30 19:56:29,trafficSensor03,64,0.114
2025-07-30 19:56:30,trafficSensor04,22,0.072
2025-07-30 19:56:35,trafficSensor02,43,0.093
2025-07-30 19:56:35,trafficSensor01,70,0.12
2025-07-30 19:56:35,trafficSensor03,38,0.088
2025-07-30 19:56:35,trafficSensor04,53,0.103
2025-07-30 19:56:40,trafficSensor02,33,0.083
2025-07-30 19:56:40,trafficSensor01,29,0.079
2025-07-30 19:56:40,trafficSensor03,99,0.149
2025-07-30 19:56:40,trafficSensor04,5,0.055
2025-07-30 19:56:45,trafficSensor02,22,0.072
2025-07-30 19:56:45,trafficSensor01,72,0.122
2025-07-30 19:56:45,trafficSensor03,84,0.134
2025-07-30 19:56:45,trafficSensor04,19,0.069
2025-07-30 19:56:50,trafficSensor02,66,0.116
2025-07-30 19:56:50,trafficSensor01,54,0.104
2025-07-30 19:56:50,trafficSensor03,13,0.063
2025-07-30 19:56:50,trafficSensor04,7,0.057
2025-07-30 19:56:55,trafficSensor01,85,0.135
2025-07-30 19:56:55,trafficSensor02,69,0.119
2025-07-30 19:56:55,trafficSensor03,78,0.128
2025-07-30 19:56:55,trafficSensor04,68,0.118
2025-07-30 19:57:00,trafficSensor02,35,0.085
2025-07-30 19:57:00,trafficSensor01,15,0.065
2025-07-30 19:57:00,trafficSensor03,82,0.132
2025-07-30 19:57:01,trafficSensor04,98,0.148
2025-07-30 19:57:06,trafficSensor01,20,0.07
2025-07-30 19:57:06,trafficSensor02,23,0.073
